conversation_id,vader_pos,vader_neg,vader_neu,vader_compound,tb_polarity,tb_subjectivity
32ce78e89ff53fdd190cbe6de4e3986e,0.196,0.043,0.761,0.989,0.2564793341579056,0.612914862914863
9759becfb9d1ad754ba4d9118bf85e5d,0.081,0.09,0.829,-0.6848,0.06726354453627181,0.5733700642791552
038441cb9ee3533a0557e6aade8385c0,0.081,0.122,0.797,-0.8126,0.052777777777777785,0.3111111111111111
51e0c4c7098134de0dc3b27b55e33792,0.132,0.186,0.682,-0.9136,-0.04590643274853801,0.5432748538011696
f91c957b985b86e6c55698950372b30d,0.12,0.068,0.812,0.7115,0.13030303030303034,0.5696969696969697
2d0f54741fde0e0e04692bfc796d2b97,0.157,0.072,0.771,0.9274,0.14777777777777779,0.658888888888889
2e229ced2cea7d63b359914d3c51270a,0.14,0.128,0.732,0.5383,0.21219308035714285,0.5961681547619048
085dafab22b93627ad832314d7b620b7,0.053,0.06,0.887,-0.1027,-0.02500000000000001,0.525
fd7ea17db9aaac39aebfe96ee2d16a48,0.18,0.033,0.786,0.978,0.33958333333333335,0.6160493827160494
00b57ac4c87984ce06bc6359bd13106b,0.139,0.11,0.751,0.9837,0.03344706141316311,0.46278523736150845
2bd6ef72ea0bfee9ea3f6bc0e6cd01bb,0.095,0.073,0.833,0.993,0.02624996416387144,0.4661398755769617
ab5f33944fea56b66eb0550933276749,0.149,0.128,0.723,0.9223,0.09530292314945785,0.5305162659123059
645c844e5420bc0c04b7beaed88a6dbf,0.085,0.049,0.865,0.8915,-0.03445378151260505,0.47731092436974787
689ef3cb304d5ef724b9529b4de80b49,0.131,0.097,0.772,0.9413,0.05049019607843141,0.589027149321267
0fd2c1f233439f185bc9b7b96bb00a95,0.074,0.124,0.802,-0.7615,-0.15312499999999998,0.6114583333333333
1a70de7a02b3265232d160573e0a26d7,0.119,0.123,0.758,-0.5887,0.06536989795918365,0.4530187074829932
8cbedefc7a09c38f37d0f00b89f6b471,0.11,0.077,0.813,0.8329,0.20729166666666665,0.5270833333333333
b414cd47dd0b022c4a82c86dde2f08bb,0.053,0.116,0.83,-0.9776,0.058750000000000004,0.5249999999999999
2c7f71f565634d8cddfe63434da7ecf8,0.139,0.123,0.737,0.9298,0.08547173866322802,0.5157371588222651
