"topic_id","topic_name","count","top_words"
"-1","-1_00579e1eac22fb8b03b6d577afcdc826_72a99d16fd7af023edc5657f5e4aa4d7_ac6ba44273f835611073cc658141a47c_72a8b9fc7013d9cb0eec040e06d2bf9a","118","[]"
"0","0_48bcc8e22e8bb796e0e3e6ca05e05d7d_48e555d1c59ff8ae5ca5c243f50f4da0_cdb9fb95864f054895cfc5ec2cce2662_cd12f46dfd80870786edb8c6c103dd03","32","[""48bcc8e22e8bb796e0e3e6ca05e05d7d"", ""48e555d1c59ff8ae5ca5c243f50f4da0"", ""cdb9fb95864f054895cfc5ec2cce2662"", ""cd12f46dfd80870786edb8c6c103dd03"", ""cc3c2da8705adb47d41af298bd125110"", ""cab41df8ad6bd1d420f2924060e2e616"", ""c98b2265db2bd318083b36416cd608eb"", ""c8d6d76da75c0247cc4a3cfb32f65be3"", ""c8beb392aa59e90648327771eaf3a0cd"", ""c89a72a2d55b8af448dafd92dd00cebb""]"
"1","1_b6c9e101545621fe21b57cf071ea4fbb_b7bca5db5a63e278d0a6fbec126cfc5b_cb6ac23e0e0b10fac998bc4b54849ccd_cb3b8ad6b157869534ca55a89e02bcc5","25","[""b6c9e101545621fe21b57cf071ea4fbb"", ""b7bca5db5a63e278d0a6fbec126cfc5b"", ""cb6ac23e0e0b10fac998bc4b54849ccd"", ""cb3b8ad6b157869534ca55a89e02bcc5"", ""cb26c72d207a20cb8780982081deee5d"", ""bded6f66f8ab045628ff19a9f914b5c0"", ""bd8ec5f36f6470f31fc63c0f0e2d2271"", ""bd25d40df389c05875cff8eda739125f"", ""bcb9bd14f3232e924e2ed0b33fe6220a"", ""b902698498b9f3ce5a246fac2ac24d2e""]"
"2","2_e619320b8ec2f912a5bbd10279aa22fa_e6c8367383958e0bae2792658cb9c0ca_ebc14dcf5da265a184630ea8cdccfa43_eb75819f1aae5a431ff67194f25fe1b4","24","[""e619320b8ec2f912a5bbd10279aa22fa"", ""e6c8367383958e0bae2792658cb9c0ca"", ""ebc14dcf5da265a184630ea8cdccfa43"", ""eb75819f1aae5a431ff67194f25fe1b4"", ""e8fa890f242ecddda1eb6ec24f0d8f75"", ""e8efc69df669e41c85b76c310fcaf12c"", ""e87a1aeb9aafa35c00da39ddeb1139a0"", ""e873e61fd0dc323f30ca4081639089d8"", ""e85d4acbd6fdcc63aae65db14c1e2aa4"", ""e8358dbee1201ff6cf5917cb8b302c81""]"
"3","3_3fdb11b052f44ddadd60a88cf758b174_4b2eb7cd4239845bdbd03ddcd6cef759_db50ee7eec1883d6628f85418a268246_db391fcdb396b564add22d7c7e36ceef","16","[""3fdb11b052f44ddadd60a88cf758b174"", ""4b2eb7cd4239845bdbd03ddcd6cef759"", ""db50ee7eec1883d6628f85418a268246"", ""db391fcdb396b564add22d7c7e36ceef"", ""db1a82f23602cbd8365a10655f733bb4"", ""db18f3bce670b62f5085e8de0e792ea8"", ""c108fb65db0612d40d3d26dbbfbcdda4"", ""9fbe49d4c0a2dbc51dbb2ab68c36c8b6"", ""9e403d0bcfbb861f1cf442b4646637fb"", ""9b50b419abf2bf9f10519dce2cc6b71c""]"
"4","4_093a772f554a56cc60ef84d0df7a875e_8ef170b0972d97286411c30e6b3ce7af_9e9c29fd6ca189f25cbbfa1dfa0351c1_9df5c7d054acec3d29ac9a9e61a707fc","16","[""093a772f554a56cc60ef84d0df7a875e"", ""8ef170b0972d97286411c30e6b3ce7af"", ""9e9c29fd6ca189f25cbbfa1dfa0351c1"", ""9df5c7d054acec3d29ac9a9e61a707fc"", ""9d7171bbbd13567ea03bc78805c2094a"", ""9c7ab3b292140809f9cb07f3ffe2a42f"", ""9abef7eaaaf65106c30ace84365eac3b"", ""9ab3a0cb672ff38f17aa8b1f7024d81f"", ""9aaa93a4b7267776f1d2b92ade590ad8"", ""9a7d108aa6e619719d31eba25496dd8a""]"
"5","5_4133ad98c40d7f840816f65dbef41ef8_41422ba8a5d52d7ace05ed11ce5144d8_51da0c14eaf7d93c12ebc2344b0744a2_51d647facc6c89e276610664cb9d05ca","15","[""4133ad98c40d7f840816f65dbef41ef8"", ""41422ba8a5d52d7ace05ed11ce5144d8"", ""51da0c14eaf7d93c12ebc2344b0744a2"", ""51d647facc6c89e276610664cb9d05ca"", ""51a40307476dac41912fe09108b4bced"", ""514151aec246f6cf51fb308cbd694454"", ""50913c67b67040abb89f99ce851e63cc"", ""502ae53c0dc893fd54e8e26674c70a59"", ""4943b47ad5e7b397f2be1a00fd8bd047"", ""47ee659ffff65a2cc7f42ea2a7626806""]"
"6","6_fd30981afed2fbf4ef2f94761b48ae9c_fd2bb4c5362becab4635b4cb314ac5b6_f899965e5e576b8632ef71819db356ae_f7d908abbfabc8acebd13ffda10e3e29","14","[""fd30981afed2fbf4ef2f94761b48ae9c"", ""fd2bb4c5362becab4635b4cb314ac5b6"", ""f899965e5e576b8632ef71819db356ae"", ""f7d908abbfabc8acebd13ffda10e3e29"", ""f7ac41bb90506954aaf41ca43a1b5558"", ""f73baad160ca9c524230fa0fb57dca8d"", ""f7351e6fe72772857ab5ed299eabe959"", ""f65c4c09f07f017ce0dcb8dfa9e8ac06"", ""f609014129bb4b60fbe5df2b741202dc"", ""f5e7fc9868b08e035f074dba533ea58b""]"
"7","7_dfc4d402154e1bbe9158271373c9c6dd_dfaec3d6e89dca13d7396e356cbb006c_df9573dc8328d8a1608e2dff9c50c33a_df4c2076e81e7264422435bdb8c09bc0","14","[""dfc4d402154e1bbe9158271373c9c6dd"", ""dfaec3d6e89dca13d7396e356cbb006c"", ""df9573dc8328d8a1608e2dff9c50c33a"", ""df4c2076e81e7264422435bdb8c09bc0"", ""da25fe32ebe278f2fb412f54603fe863"", ""d8585ef8794623191412fc5aff5e6f66"", ""d666ddc72c383810dbf0202ccc8fe42f"", ""d59da815178fcbd0426a6fb99b55adcf"", ""d5553145cc9808e4d1937ea68fd63565"", ""d4af8f0d8dce6f5d05cfc0b79eea2d69""]"
"8","8_aba91c98fddefbadd057f5a3c917fc2a_a9c1d9a5f85221d2dfa3bcee54cb1a80_a9b21a5e195cfda0514555834bcd35cd_a9ac0a6be5e0346fb9d6851fa9db014c","13","[""aba91c98fddefbadd057f5a3c917fc2a"", ""a9c1d9a5f85221d2dfa3bcee54cb1a80"", ""a9b21a5e195cfda0514555834bcd35cd"", ""a9ac0a6be5e0346fb9d6851fa9db014c"", ""a906fe4f7ea39354ad13dd5616268b61"", ""a88109ba81f6c710fa8901e177bad8ae"", ""a85ebacce2dfde41695e1fab1cbe5dd9"", ""a8526e743e42c2bc6459d94dfb6bebbd"", ""a79eb4213cf8f370d6281199124cbb3a"", ""a5d659995d90b7cc2731ccedfe7f20af""]"
